,team,position,height,age,appearance,goals,assists,yellow cards,red cards,goals conceded,minutes played,days_injured,award,current_value
16,Manchester United,midfield-CentralMidfield,182.0,31.0,55,0.067214339,0.313666916,0.089619119,0.0,0.0,4017,0,10,25000000
17,Manchester United,midfield-CentralMidfield,177.0,29.0,74,0.144046095,0.086427657,0.230473752,0.0,0.0,3124,280,8,20000000
18,Manchester United,midfield-CentralMidfield,169.0,30.0,92,0.184842884,0.22181146,0.33271719,0.0,0.0,4869,45,11,20000000
19,Manchester United,midfield-CentralMidfield,184.0,26.0,31,0.155574762,0.0,0.155574762,0.0,0.0,1157,378,6,17000000
20,Manchester United,midfield-CentralMidfield,181.0,20.0,39,0.129124821,0.06456241,0.225968436,0.0,0.0,2788,0,1,800000
21,Manchester United,midfield-CentralMidfield,175.0,18.0,51,0.153758542,0.102505695,0.0,0.0,0.0,3512,0,1,800000
23,Manchester United,Attack-LeftWinger,185.0,25.0,88,0.528789659,0.196407588,0.07554138,0.0,0.0,5957,319,9,80000000
24,Manchester United,Attack-LeftWinger,180.0,23.0,79,0.21978022,0.10989011,0.0,0.0,0.0,4914,173,5,55000000
25,Manchester United,Attack-LeftWinger,178.0,21.0,63,0.236220472,0.206692913,0.029527559,0.029527559,0.0,3048,0,1,25000000
26,Manchester United,Attack-LeftWinger,180.0,18.0,72,0.525730181,0.300417246,0.225312935,0.0,0.0,3595,50,2,25000000
27,Manchester United,Attack-RightWinger,172.0,23.0,80,0.335252286,0.228581104,0.182864883,0.0,0.0,5906,196,5,70000000
28,Manchester United,Attack-RightWinger,174.0,21.0,34,0.0,0.087378641,0.262135922,0.0,0.0,1030,90,1,3000000
29,Manchester United,Attack-RightWinger,181.0,21.0,24,0.317647059,0.105882353,0.105882353,0.0,0.0,1700,135,0,0
30,Manchester United,Attack Centre-Forward,181.0,27.0,52,0.399032648,0.145102781,0.036275695,0.0,0.0,2481,408,6,15000000
44,West Ham United,midfield-CentralMidfield,178.0,24.0,74,0.019876325,0.03975265,0.337897527,0.0,0.0,4528,0,1,8000000
47,West Ham United,midfield-AttackingMidfield,167.0,30.0,69,0.220102715,0.110051357,0.176082172,0.0,0.0,4089,555,3,8000000
48,West Ham United,Attack-LeftWinger,172.0,27.0,100,0.350076104,0.167427702,0.0304414,0.0,0.0,5913,14,1,22000000
49,West Ham United,Attack-LeftWinger,179.0,26.0,51,0.310463779,0.241471828,0.103487926,0.0,0.0,2609,71,1,15000000
69,Leicester City,midfield-DefensiveMidfield,183.0,26.0,61,0.040540541,0.02027027,0.222972973,0.0,0.0,4440,234,2,32000000
70,Leicester City,midfield-DefensiveMidfield,188.0,24.0,59,0.0,0.02538787,0.279266573,0.0,0.0,3545,0,2,20000000
71,Leicester City,midfield-DefensiveMidfield,167.0,30.0,42,0.038977913,0.038977913,0.233867475,0.0,0.0,2309,459,2,3500000
73,Leicester City,midfield-CentralMidfield,178.0,24.0,78,0.079491256,0.079491256,0.143084261,0.0,0.0,5661,4,1,25000000
74,Leicester City,midfield-CentralMidfield,181.0,29.0,51,0.107142857,0.107142857,0.142857143,0.0,0.0,2520,383,9,8000000
77,Leicester City,Attack-RightWinger,175.0,23.0,72,0.381016043,0.240641711,0.160427807,0.0,0.0,4488,0,4,25000000
78,Leicester City,Attack Centre-Forward,183.0,24.0,74,0.39717564,0.211827008,0.105913504,0.0,0.0,3399,58,13,20000000
79,Leicester City,Attack Centre-Forward,185.0,26.0,78,0.394845078,0.345489443,0.09871127,0.0,0.0,3647,17,4,17000000
80,Leicester City,Attack Centre-Forward,179.0,36.0,75,0.465901418,0.141796084,0.081026334,0.0,0.0,4443,198,8,4000000
93,Aston Villa,midfield-DefensiveMidfield,184.0,23.0,74,0.015695849,0.031391699,0.21974189,0.0,0.0,5734,188,0,25000000
94,Aston Villa,midfield-DefensiveMidfield,188.0,28.0,60,0.080910998,0.107881331,0.107881331,0.026970333,0.0,3337,114,6,17000000
96,Aston Villa,midfield-CentralMidfield,180.0,22.0,73,0.203351535,0.152513651,0.203351535,0.0,0.0,5311,46,0,32000000
98,Aston Villa,Attack-LeftWinger,178.0,25.0,54,0.187695516,0.187695516,0.250260688,0.0,0.0,2877,153,0,25000000
99,Aston Villa,Attack-LeftWinger,172.0,30.0,57,0.251572327,0.094339623,0.125786164,0.0,0.0,2862,564,15,14000000
100,Aston Villa,Attack-RightWinger,172.0,26.0,78,0.177475898,0.177475898,0.019719544,0.0,0.0,4564,176,3,28000000
101,Aston Villa,Attack-RightWinger,181.0,27.0,36,0.302013423,0.060402685,0.181208054,0.0,0.0,1490,254,1,14000000
103,Aston Villa,Attack Centre-Forward,185.0,19.0,12,0.0,0.0,0.725806452,0.0,0.0,124,0,0,12000000
116,Wolverhampton Wanderers,midfield-DefensiveMidfield,184.0,29.0,77,0.054479419,0.036319613,0.163438257,0.018159806,0.0,4956,304,5,10000000
117,Wolverhampton Wanderers,midfield-DefensiveMidfield,183.0,21.0,43,0.072727273,0.072727273,0.327272727,0.0,0.0,2475,148,0,5000000
118,Wolverhampton Wanderers,midfield-DefensiveMidfield,172.0,20.0,38,0.185643564,0.074257426,0.25990099,0.0,0.0,2424,0,2,500000
120,Wolverhampton Wanderers,midfield-CentralMidfield,176.0,22.0,11,0.138248848,0.0,0.69124424,0.0,0.0,651,0,5,15000000
121,Wolverhampton Wanderers,midfield-CentralMidfield,170.0,36.0,75,0.034090909,0.051136364,0.119318182,0.0,0.0,5280,146,16,2000000
123,Wolverhampton Wanderers,Attack-LeftWinger,179.0,23.0,32,0.223048327,0.557620818,0.334572491,0.0,0.0,1614,327,2,2500000
124,Wolverhampton Wanderers,Attack-RightWinger,172.0,23.0,34,0.116129032,0.058064516,0.232258065,0.0,0.0,1550,498,2,32000000
125,Wolverhampton Wanderers,Attack-RightWinger,174.0,31.0,79,0.453152364,0.197022767,0.256129597,0.0,0.0,4568,93,11,16000000
126,Wolverhampton Wanderers,Attack-RightWinger,178.0,27.0,80,0.095541401,0.143312102,0.071656051,0.0,0.0,3768,200,2,12000000
127,Wolverhampton Wanderers,Attack Centre-Forward,183.0,24.0,75,0.281543274,0.31282586,0.218978102,0.0,0.0,2877,150,2,30000000
129,Wolverhampton Wanderers,Attack Centre-Forward,177.0,27.0,66,0.238165246,0.132314025,0.079388415,0.0,0.0,3401,418,8,12000000
130,Wolverhampton Wanderers,Attack Centre-Forward,188.0,32.0,56,0.210116732,0.140077821,0.116731518,0.0,0.0,3855,415,11,9000000
131,Wolverhampton Wanderers,Attack Centre-Forward,186.0,34.0,25,0.067466267,0.0,0.337331334,0.067466267,0.0,1334,310,14,3500000
145,Southampton FC,midfield-DefensiveMidfield,181.0,19.0,65,0.035622403,0.053433604,0.231545616,0.0,0.0,5053,55,4,25000000
146,Southampton FC,midfield-DefensiveMidfield,179.0,24.0,56,0.031446541,0.062893082,0.314465409,0.0,0.0,2862,76,0,8000000
148,Southampton FC,midfield-CentralMidfield,183.0,20.0,21,0.285941223,0.142970612,0.285941223,0.0,0.0,1259,27,1,12000000
149,Southampton FC,midfield-CentralMidfield,183.0,31.0,65,0.133293839,0.053317536,0.186611374,0.0,0.0,3376,259,8,6000000
150,Southampton FC,midfield-RightMidfield,180.0,25.0,50,0.0,0.062348459,0.124696917,0.0,0.0,2887,97,7,8000000
152,Southampton FC,Attack-LeftWinger,175.0,21.0,66,0.24623803,0.184678523,0.184678523,0.0,0.0,2924,90,0,22000000
153,Southampton FC,Attack-LeftWinger,178.0,28.0,71,0.169918188,0.113278792,0.151038389,0.0,0.0,4767,102,8,12000000
154,Southampton FC,Attack-LeftWinger,177.0,24.0,40,0.051605505,0.206422018,0.309633028,0.0,0.0,1744,148,1,10000000
156,Southampton FC,Attack-LeftWinger,181.0,20.0,45,0.139157325,0.104367994,0.034789331,0.0,0.0,2587,0,4,7000000
158,Southampton FC,Attack Centre-Forward,179.0,26.0,68,0.359042553,0.119680851,0.019946809,0.0,0.0,4512,19,1,22000000
160,Southampton FC,Attack Centre-Forward,173.0,26.0,68,0.118858954,0.095087163,0.071315372,0.0,0.0,3786,26,3,12000000
161,Southampton FC,Attack Centre-Forward,183.0,20.0,58,0.542713568,0.226130653,0.180904523,0.0,0.0,1990,0,0,12000000
172,Brighton &amp; Hove Albion,midfield-DefensiveMidfield,178.0,21.0,69,0.064841499,0.064841499,0.291786744,0.0,0.0,5552,26,2,55000000
173,Brighton &amp; Hove Albion,midfield-CentralMidfield,174.0,24.0,76,0.269698572,0.111052353,0.190375463,0.0,0.0,5673,38,3,42000000
175,Brighton &amp; Hove Albion,midfield-CentralMidfield,170.0,21.0,45,0.0,0.131004367,0.098253275,0.0,0.0,2748,169,2,9000000
177,Brighton &amp; Hove Albion,midfield-CentralMidfield,172.0,19.0,13,0.134328358,0.0,0.0,0.0,0.0,670,0,0,4000000
178,Brighton &amp; Hove Albion,midfield-AttackingMidfield,174.0,18.0,14,0.142857143,0.142857143,0.285714286,0.0,0.0,630,10,0,9000000
179,Brighton &amp; Hove Albion,midfield-AttackingMidfield,178.0,20.0,27,0.111248455,0.22249691,0.22249691,0.0,0.0,809,211,0,5000000
180,Brighton &amp; Hove Albion,midfield-AttackingMidfield,172.0,35.0,43,0.110701107,0.073800738,0.147601476,0.0,0.0,2439,506,5,1500000
181,Brighton &amp; Hove Albion,Attack-LeftWinger,178.0,26.0,70,0.348237317,0.232158212,0.096732588,0.0,0.0,4652,37,3,22000000
182,Brighton &amp; Hove Albion,Attack-RightWinger,180.0,28.0,72,0.139184226,0.173980282,0.052194085,0.0,0.0,5173,264,0,18000000
183,Brighton &amp; Hove Albion,Attack Centre-Forward,173.0,19.0,30,0.431211499,0.246406571,0.061601643,0.0,0.0,1461,143,2,11000000
184,Brighton &amp; Hove Albion,Attack Centre-Forward,183.0,18.0,58,0.666476787,0.153802336,0.051267445,0.0,0.0,3511,0,0,10000000
186,Brighton &amp; Hove Albion,Attack Centre-Forward,178.0,26.0,71,0.716886664,0.286754665,0.225307237,0.0,0.0,4394,96,3,6000000
201,Everton FC,midfield-DefensiveMidfield,182.0,22.0,67,0.072712583,0.199959604,0.21813775,0.0,0.0,4951,100,0,14000000
202,Everton FC,midfield-CentralMidfield,183.0,30.0,61,0.141764176,0.121512151,0.263276328,0.020252025,0.0,4444,405,0,12000000
203,Everton FC,midfield-CentralMidfield,180.0,24.0,28,0.089730808,0.089730808,0.35892323,0.0,0.0,1003,235,1,12000000
204,Everton FC,midfield-CentralMidfield,174.0,33.0,67,0.076174355,0.038087177,0.228523064,0.0,0.0,4726,141,10,8000000
205,Everton FC,midfield-AttackingMidfield,183.0,27.0,73,0.077653149,0.186367558,0.04659189,0.0,0.0,5795,87,3,25000000
206,Everton FC,Attack-LeftWinger,183.0,26.0,75,0.201342282,0.100671141,0.100671141,0.0,0.0,5364,31,1,20000000
207,Everton FC,Attack-LeftWinger,183.0,23.0,79,0.106544901,0.060882801,0.106544901,0.0,0.0,5913,41,0,18000000
208,Everton FC,Attack-RightWinger,181.0,31.0,28,0.338709677,0.193548387,0.14516129,0.0,0.0,1860,587,1,2500000
209,Everton FC,Attack Centre-Forward,189.0,26.0,36,0.249307479,0.106846063,0.178076771,0.0,0.0,2527,383,4,25000000
210,Everton FC,Attack Centre-Forward,173.0,26.0,64,0.23891691,0.071675073,0.262808601,0.0,0.0,3767,316,0,13000000
227,Nottingham Forest,midfield-DefensiveMidfield,177.0,22.0,17,0.211764706,0.141176471,0.070588235,0.0,0.0,1275,8,5,25000000
228,Nottingham Forest,midfield-DefensiveMidfield,189.0,33.0,53,0.055197792,0.027598896,0.165593376,0.0,0.0,3261,360,7,3000000
229,Nottingham Forest,midfield-DefensiveMidfield,177.0,33.0,62,0.081855389,0.020463847,0.245566166,0.0,0.0,4398,172,1,800000
230,Nottingham Forest,midfield-CentralMidfield,178.0,25.0,61,0.046607975,0.116519938,0.163127913,0.0,0.0,3862,273,1,12000000
233,Nottingham Forest,midfield-CentralMidfield,184.0,31.0,39,0.06360424,0.09540636,0.222614841,0.0,0.0,2830,419,2,7000000
234,Nottingham Forest,midfield-CentralMidfield,177.0,33.0,16,0.0,0.0,0.583333333,0.0,0.0,1080,371,1,600000
235,Nottingham Forest,midfield-CentralMidfield,185.0,30.0,23,0.135135135,0.405405405,0.27027027,0.0,0.0,666,75,5,600000
238,Nottingham Forest,midfield-AttackingMidfield,174.0,30.0,42,0.216606498,0.162454874,0.162454874,0.0,0.0,1662,342,5,12000000
239,Nottingham Forest,midfield-AttackingMidfield,177.0,29.0,12,0.0,0.0,0.129496403,0.0,0.0,695,40,6,12000000
240,Nottingham Forest,Attack-LeftWinger,175.0,33.0,50,0.618769337,0.0928154,0.123753867,0.0,0.0,2909,320,10,2200000
241,Nottingham Forest,Attack-LeftWinger,171.0,21.0,49,0.28340081,0.08097166,0.0,0.0,0.0,2223,55,0,600000
242,Nottingham Forest,Attack Centre-Forward,183.0,25.0,73,0.625280143,0.121021963,0.121021963,0.0,0.0,4462,261,3,20000000
243,Nottingham Forest,Attack Centre-Forward,175.0,25.0,62,0.281030445,0.210772834,0.234192037,0.0,0.0,3843,117,3,10000000
245,Nottingham Forest,Attack Centre-Forward,190.0,24.0,75,0.546489564,0.170777989,0.341555977,0.034155598,0.0,2635,56,0,3500000
246,Nottingham Forest,Attack Centre-Forward,188.0,33.0,34,0.382616911,0.08502598,0.25507794,0.0,0.0,2117,23,0,350000
258,Leeds United,midfield-DefensiveMidfield,175.0,24.0,63,0.0,0.020694413,0.269027363,0.0,0.0,4349,255,5,20000000
259,Leeds United,midfield-DefensiveMidfield,184.0,26.0,49,0.029354207,0.058708415,0.205479452,0.0,0.0,3066,112,6,15000000
260,Leeds United,midfield-CentralMidfield,185.0,24.0,70,0.125974805,0.053989202,0.161967606,0.0,0.0,5001,313,4,21000000
262,Leeds United,midfield-AttackingMidfield,177.0,22.0,82,0.126849894,0.206131078,0.04756871,0.0,0.0,5676,35,6,30000000
263,Leeds United,midfield-AttackingMidfield,180.0,21.0,56,0.345067968,0.345067968,0.313698153,0.031369815,0.0,2869,0,0,4000000
264,Leeds United,Attack-LeftWinger,175.0,26.0,78,0.242955964,0.182216973,0.075923739,0.0,0.0,5927,94,1,22000000
265,Leeds United,Attack-LeftWinger,172.0,23.0,71,0.534865293,0.267432647,0.071315372,0.0,0.0,5048,470,0,22000000
266,Leeds United,Attack-LeftWinger,170.0,19.0,81,0.334805859,0.209253662,0.397581958,0.0,0.0,4301,7,4,18000000
267,Leeds United,Attack-RightWinger,174.0,21.0,56,0.379080379,0.221130221,0.221130221,0.0,0.0,2849,7,1,12000000
268,Leeds United,Attack Centre-Forward,182.0,21.0,69,0.277544155,0.227081581,0.100925147,0.0,0.0,3567,58,0,22000000
269,Leeds United,Attack Centre-Forward,185.0,29.0,43,0.409937888,0.260869565,0.149068323,0.0,0.0,2415,383,2,10000000
270,Leeds United,Attack Centre-Forward,182.0,32.0,69,0.415293342,0.05932762,0.296638102,0.0,0.0,4551,416,7,9000000
283,Crystal Palace,midfield-DefensiveMidfield,182.0,26.0,14,0.236842105,0.0,0.236842105,0.0,0.0,380,153,3,4000000
284,Crystal Palace,midfield-DefensiveMidfield,186.0,32.0,41,0.055555556,0.0,0.277777778,0.0,0.0,1620,88,7,2500000
285,Crystal Palace,midfield-CentralMidfield,183.0,23.0,48,0.0,0.0,0.217016879,0.0,0.0,2903,265,0,15000000
286,Crystal Palace,midfield-CentralMidfield,183.0,21.0,33,0.098306936,0.147460404,0.147460404,0.0,0.0,1831,196,0,10000000
287,Crystal Palace,midfield-CentralMidfield,185.0,28.0,51,0.074534161,0.074534161,0.409937888,0.0,0.0,2415,490,0,5000000
288,Crystal Palace,midfield-CentralMidfield,178.0,35.0,27,0.0,0.226986129,0.170239596,0.0,0.0,1586,240,1,700000
289,Crystal Palace,midfield-LeftMidfield,178.0,30.0,73,0.131414268,0.075093867,0.187734668,0.0,0.0,4794,445,2,8000000
290,Crystal Palace,midfield-AttackingMidfield,178.0,24.0,59,0.265060241,0.120481928,0.096385542,0.0,0.0,3735,166,0,30000000
291,Crystal Palace,Attack-LeftWinger,180.0,30.0,65,0.359607701,0.081729023,0.147112241,0.0,0.0,5506,231,2,27000000
292,Crystal Palace,Attack-RightWinger,184.0,21.0,72,0.118317266,0.394390885,0.118317266,0.0,0.0,4564,14,0,27000000
293,Crystal Palace,Attack Centre-Forward,187.0,25.0,79,0.340103921,0.148795465,0.21256495,0.0,0.0,4234,130,16,17000000
295,Crystal Palace,Attack Centre-Forward,182.0,31.0,75,0.123094959,0.123094959,0.123094959,0.0,0.0,5118,20,6,6000000
307,Fulham FC,midfield-CentralMidfield,181.0,28.0,84,0.045188285,0.090376569,0.180753138,0.0,0.0,5975,190,1,15000000
308,Fulham FC,midfield-CentralMidfield,183.0,26.0,68,0.142630745,0.089144216,0.28526149,0.0,0.0,5048,90,2,13000000
309,Fulham FC,midfield-CentralMidfield,185.0,32.0,66,0.185503263,0.123668842,0.154586053,0.0,0.0,2911,524,1,2000000
310,Fulham FC,midfield-CentralMidfield,173.0,22.0,25,0.052478134,0.0,0.209912536,0.0,0.0,1715,87,1,500000
311,Fulham FC,midfield-AttackingMidfield,178.0,27.0,38,0.144974227,0.173969072,0.260953608,0.0,0.0,3104,104,6,16000000
312,Fulham FC,midfield-AttackingMidfield,170.0,30.0,85,0.198383542,0.132255694,0.198383542,0.0,0.0,5444,28,2,7000000
313,Fulham FC,Attack-LeftWinger,170.0,23.0,50,0.35263387,0.078363082,0.039181541,0.0,0.0,2297,424,4,18000000
314,Fulham FC,Attack-LeftWinger,170.0,31.0,61,0.215025219,0.23891691,0.023891691,0.0,0.0,3767,354,1,3000000
315,Fulham FC,Attack-LeftWinger,175.0,34.0,30,0.200534759,0.240641711,0.080213904,0.040106952,0.0,2244,150,20,3000000
316,Fulham FC,Attack-RightWinger,173.0,26.0,76,0.251798561,0.467625899,0.143884892,0.017985612,0.0,5004,152,1,13000000
317,Fulham FC,Attack-RightWinger,171.0,25.0,66,0.167508641,0.167508641,0.167508641,0.023929806,0.0,3761,79,0,13000000
319,Fulham FC,Attack Centre-Forward,190.0,28.0,71,0.374090752,0.311742293,0.342916522,0.0,0.0,2887,146,4,5000000
336,AFC Bournemouth,midfield-CentralMidfield,185.0,28.0,65,0.060619668,0.222272115,0.181859003,0.0,0.0,4454,28,3,3500000
338,AFC Bournemouth,midfield-AttackingMidfield,177.0,23.0,50,0.251748252,0.22027972,0.157342657,0.0,0.0,2860,167,1,22000000
339,AFC Bournemouth,midfield-AttackingMidfield,178.0,28.0,84,0.091649695,0.183299389,0.122199593,0.0,0.0,5892,216,8,9000000
340,AFC Bournemouth,Attack-LeftWinger,183.0,23.0,82,0.211764706,0.141176471,0.105882353,0.0,0.0,5100,0,0,5000000
342,AFC Bournemouth,Attack-RightWinger,177.0,21.0,66,0.205844981,0.25158831,0.137229987,0.0,0.0,3935,7,0,20000000
345,AFC Bournemouth,Attack Centre-Forward,185.0,23.0,70,0.384712095,0.316821725,0.316821725,0.0,0.0,3977,0,0,9000000
359,Brentford FC,midfield-DefensiveMidfield,184.0,25.0,72,0.12815297,0.036615134,0.12815297,0.0,0.0,4916,233,3,16000000
360,Brentford FC,midfield-DefensiveMidfield,187.0,29.0,61,0.071770335,0.14354067,0.251196172,0.0,0.0,5016,387,1,14000000
361,Brentford FC,midfield-CentralMidfield,180.0,27.0,74,0.092175338,0.147480541,0.092175338,0.0,0.0,4882,212,0,14000000
362,Brentford FC,midfield-CentralMidfield,184.0,24.0,49,0.201342282,0.100671141,0.05033557,0.05033557,0.0,1788,341,1,9000000
363,Brentford FC,midfield-CentralMidfield,183.0,25.0,47,0.0,0.083064144,0.20766036,0.0,0.0,2167,0,5,9000000
364,Brentford FC,midfield-CentralMidfield,180.0,25.0,49,0.052356021,0.104712042,0.052356021,0.0,0.0,1719,503,0,3000000
365,Brentford FC,midfield-AttackingMidfield,175.0,29.0,41,0.071942446,0.35971223,0.215827338,0.0,0.0,1251,86,1,2200000
366,Brentford FC,Attack-LeftWinger,176.0,26.0,74,0.464339909,0.136570561,0.109256449,0.0,0.0,3295,0,0,15000000
367,Brentford FC,Attack-LeftWinger,170.0,22.0,61,0.258833196,0.073952342,0.055464256,0.0,0.0,4868,113,1,15000000
368,Brentford FC,Attack-LeftWinger,180.0,22.0,41,0.0,0.049288061,0.246440307,0.0,0.0,1826,189,0,15000000
369,Brentford FC,Attack-RightWinger,171.0,23.0,77,0.255297847,0.225262807,0.135157684,0.0,0.0,5993,6,0,28000000
370,Brentford FC,Attack-RightWinger,185.0,21.0,56,0.338345865,0.211466165,0.296052632,0.0,0.0,2128,262,1,20000000
386,Liverpool FC,midfield-DefensiveMidfield,185.0,18.0,48,0.111351686,0.055675843,0.222703371,0.0,0.0,3233,237,0,13000000
387,Liverpool FC,midfield-CentralMidfield,174.0,32.0,67,0.041388825,0.124166475,0.124166475,0.0,0.0,4349,371,35,18000000
388,Liverpool FC,midfield-CentralMidfield,172.0,28.0,53,0.139968896,0.104976672,0.209953344,0.0,0.0,2572,376,13,17000000
389,Liverpool FC,midfield-CentralMidfield,185.0,22.0,51,0.130956712,0.163695889,0.098217534,0.0,0.0,2749,103,5,17000000
390,Liverpool FC,midfield-CentralMidfield,172.0,26.0,35,0.0,0.050307434,0.251537172,0.0,0.0,1789,375,7,15000000
393,Liverpool FC,midfield-CentralMidfield,175.0,37.0,82,0.0,0.169491525,0.271186441,0.0,0.0,2655,202,12,2000000
394,Liverpool FC,midfield-AttackingMidfield,170.0,20.0,59,0.183673469,0.091836735,0.091836735,0.0,0.0,2940,140,6,35000000
395,Liverpool FC,midfield-AttackingMidfield,170.0,20.0,60,0.336898396,0.192513369,0.144385027,0.0,0.0,3740,89,2,20000000
396,Liverpool FC,Attack-LeftWinger,180.0,26.0,75,0.456852792,0.236886633,0.084602369,0.0,0.0,5319,227,11,75000000
398,Liverpool FC,Attack-LeftWinger,178.0,26.0,83,0.507450665,0.289971808,0.144985904,0.0,0.0,4966,408,4,55000000
400,Liverpool FC,Attack Centre-Forward,187.0,23.0,83,0.850366371,0.138835326,0.190898573,0.017354416,0.0,5186,202,5,70000000
401,Liverpool FC,Attack Centre-Forward,181.0,31.0,70,0.614684121,0.256118384,0.076835515,0.0,0.0,3514,276,8,22000000
418,Newcastle United,midfield-CentralMidfield,186.0,23.0,74,0.089003165,0.106803797,0.017800633,0.0,0.0,5056,70,3,30000000
419,Newcastle United,midfield-CentralMidfield,187.0,25.0,67,0.075885329,0.094856661,0.075885329,0.0,0.0,4744,200,0,22000000
420,Newcastle United,midfield-CentralMidfield,171.0,23.0,33,0.224625624,0.074875208,0.149750416,0.0,0.0,2404,370,0,1500000
421,Newcastle United,midfield-RightMidfield,173.0,33.0,29,0.0,0.110837438,0.277093596,0.0,0.0,1624,345,5,1800000
423,Newcastle United,midfield-AttackingMidfield,179.0,20.0,56,0.39,0.18,0.15,0.0,0.0,3000,14,0,3500000
424,Newcastle United,Attack-LeftWinger,182.0,22.0,74,0.166358595,0.062384473,0.291127542,0.0,0.0,4328,22,1,40000000
425,Newcastle United,Attack-LeftWinger,173.0,26.0,68,0.125903474,0.209839123,0.167871299,0.0,0.0,4289,306,0,35000000
427,Newcastle United,Attack-RightWinger,174.0,29.0,73,0.230031949,0.076677316,0.076677316,0.0,0.0,4695,177,2,35000000
428,Newcastle United,Attack-RightWinger,173.0,28.0,77,0.151209677,0.120967742,0.120967742,0.0,0.0,2976,0,0,10000000
444,Manchester City,midfield-DefensiveMidfield,179.0,27.0,44,0.036615134,0.036615134,0.183075671,0.0,0.0,2458,216,4,35000000
449,Manchester City,midfield-AttackingMidfield,189.0,21.0,45,0.583541147,0.314214464,0.089775561,0.0,0.0,2005,112,7,15000000
450,Manchester City,Attack-LeftWinger,171.0,23.0,93,0.44661191,0.292607803,0.077002053,0.0,0.0,5844,121,15,110000000
452,Manchester City,Attack-RightWinger,179.0,32.0,94,0.585097516,0.330055009,0.045007501,0.0,0.0,5999,23,20,30000000
454,Manchester City,Attack Centre-Forward,170.0,23.0,49,0.606180666,0.178288431,0.035657686,0.0,0.0,2524,0,14,50000000
465,Arsenal FC,midfield-DefensiveMidfield,185.0,29.0,66,0.093710954,0.018742191,0.224906289,0.0,0.0,4802,289,3,38000000
467,Arsenal FC,midfield-DefensiveMidfield,179.0,30.0,25,0.064102564,0.128205128,0.128205128,0.0,0.0,1404,282,7,9000000
470,Arsenal FC,midfield-AttackingMidfield,182.0,22.0,52,0.409768212,0.149006623,0.037251656,0.0,0.0,2416,344,3,38000000
471,Arsenal FC,midfield-AttackingMidfield,170.0,22.0,72,0.238025272,0.581839553,0.158683515,0.0,0.0,3403,23,4,27000000
472,Arsenal FC,Attack-LeftWinger,178.0,21.0,82,0.327499567,0.202737827,0.12476174,0.0,0.0,5771,215,2,70000000
473,Arsenal FC,Attack-LeftWinger,172.0,28.0,74,0.27180068,0.27180068,0.050962627,0.0,0.0,5298,270,2,30000000
475,Arsenal FC,Attack-RightWinger,175.0,23.0,51,0.291262136,0.416088766,0.083217753,0.0,0.0,2163,357,4,7000000
476,Arsenal FC,Attack Centre-Forward,175.0,26.0,74,0.439292251,0.366076876,0.219646126,0.0,0.0,4917,352,16,75000000
477,Arsenal FC,Attack Centre-Forward,175.0,23.0,67,0.544066179,0.114540248,0.171810372,0.0,0.0,3143,42,4,25000000
490,Tottenham Hotspur,midfield-DefensiveMidfield,175.0,22.0,59,0.023118418,0.0,0.346776265,0.0,0.0,3893,212,1,15000000
492,Tottenham Hotspur,midfield-CentralMidfield,187.0,25.0,70,0.106090373,0.15913556,0.31827112,0.0,0.0,5090,338,10,40000000
493,Tottenham Hotspur,midfield-CentralMidfield,182.0,26.0,56,0.051355207,0.051355207,0.436519258,0.0,0.0,3505,229,0,25000000
494,Tottenham Hotspur,midfield-CentralMidfield,184.0,20.0,51,0.031468531,0.125874126,0.314685315,0.0,0.0,2860,7,1,15000000
495,Tottenham Hotspur,midfield-LeftMidfield,178.0,23.0,45,0.067440989,0.101161484,0.236043462,0.0,0.0,2669,404,2,22000000
498,Tottenham Hotspur,Attack-LeftWinger,178.0,26.0,63,0.63622975,0.106038292,0.053019146,0.0,0.0,3395,558,2,27000000
499,Tottenham Hotspur,Attack-RightWinger,186.0,23.0,84,0.16934978,0.357516203,0.150533138,0.0,0.0,4783,72,3,55000000
500,Tottenham Hotspur,Attack-RightWinger,172.0,30.0,68,0.288831836,0.231065469,0.115532734,0.028883184,0.0,3116,175,21,9000000
502,Tottenham Hotspur,Attack Centre-Forward,184.0,26.0,68,0.298790609,0.192079677,0.23476405,0.0,0.0,4217,208,3,55000000
517,Chelsea FC,midfield-DefensiveMidfield,178.0,22.0,51,0.082512033,0.185652074,0.226908091,0.0,0.0,4363,0,5,85000000
518,Chelsea FC,midfield-DefensiveMidfield,171.0,32.0,51,0.052972337,0.15891701,0.105944673,0.0,0.0,3398,510,13,20000000
519,Chelsea FC,midfield-DefensiveMidfield,190.0,26.0,44,0.1171875,0.05859375,0.17578125,0.0,0.0,3072,487,0,20000000
520,Chelsea FC,midfield-CentralMidfield,177.0,29.0,81,0.067076579,0.134153158,0.268306316,0.0,0.0,5367,272,18,40000000
521,Chelsea FC,midfield-CentralMidfield,182.0,23.0,84,0.189220183,0.103211009,0.412844037,0.0,0.0,5232,0,4,32000000
523,Chelsea FC,midfield-CentralMidfield,187.0,19.0,39,0.116054159,0.174081238,0.0,0.0,0.0,1551,44,0,15000000
524,Chelsea FC,midfield-AttackingMidfield,181.0,24.0,88,0.241125251,0.33154722,0.16577361,0.0,0.0,5972,121,6,65000000
526,Chelsea FC,Attack-LeftWinger,175.0,22.0,54,0.354679803,0.561576355,0.266009852,0.02955665,0.0,3045,0,2,60000000
